acctnum,gender,R,F,M,firstpur,age_class,single,student,mailing,respmail
10001,1,30,10,35.7,50,3,1,1,1,0
10005,0,16,1,149,16,0,0,1,1,0
10010,0,12,1,123,12,0,1,0,1,0
10011,0,6,2,147,8,0,1,1,1,0
10014,1,6,3,96,18,0,0,1,1,1
10020,0,12,2,150.5,14,0,1,1,1,0
10021,1,10,2,101,16,0,1,1,1,0
10029,1,8,2,64,10,0,1,0,1,0
10031,0,28,12,16.9166666666667,62,3,0,1,1,0
10032,0,8,9,32.7777777777778,60,2,0,1,1,0
10034,0,4,9,38.8888888888889,28,3,0,1,1,0
10066,1,8,3,41,18,0,0,1,1,0
10072,0,14,4,84,30,1,1,0,1,0
10073,0,16,5,36,42,2,0,0,1,0
10084,0,16,2,92.5,18,0,0,0,1,0
10088,0,26,1,172,26,0,0,1,1,0
10101,0,34,2,98.5,36,0,0,0,1,0
10103,0,4,1,268,4,0,0,0,1,0
10117,1,8,11,33.1818181818182,60,3,0,0,1,0
10126,1,22,1,81,22,0,0,1,1,0
10131,0,14,2,163,22,0,1,0,1,0
10138,0,28,7,42,56,1,0,1,1,0
10145,0,12,11,35.7272727272727,50,3,0,1,1,0
10159,1,10,2,125.5,18,0,0,1,1,0
10161,1,10,4,85.75,30,0,0,1,1,0
10173,0,12,1,252,12,1,0,0,1,0
10175,0,4,2,26,6,1,0,0,1,0
10181,0,2,2,150.5,4,0,0,1,1,0
10199,0,14,8,21.375,58,1,0,1,1,0
10209,0,6,6,44.3333333333333,28,0,1,1,1,0
10223,0,14,9,34.5555555555556,50,0,0,1,1,0
10230,1,8,2,90,12,0,1,0,1,0
10243,1,2,2,51.5,4,1,1,0,1,0
10245,0,26,12,27.3333333333333,62,2,1,0,1,0
10246,1,16,6,17.6666666666667,44,1,1,0,1,0
10256,0,32,2,66.5,36,1,0,1,1,1
10260,1,26,2,48,34,0,1,1,1,0
10264,1,14,1,234,14,0,1,0,1,0
10275,0,6,2,39,10,2,0,0,1,0
10281,0,28,1,72,28,0,0,1,1,0
10283,0,12,1,165,12,0,0,1,1,0
10288,1,36,10,31.2,58,2,1,1,1,1
10296,1,4,2,35,6,1,0,0,1,0
10303,1,16,1,107,16,0,1,0,1,0
10318,0,18,10,15.6,52,1,0,1,1,0
10319,1,4,2,22.5,10,0,0,1,1,0
10331,1,14,1,235,14,0,1,0,1,0
10336,1,12,8,19.375,48,2,1,1,1,1
10337,0,8,1,231,8,0,0,1,1,0
10351,0,26,1,49,26,0,1,0,1,0
10370,0,12,3,107,24,0,1,1,1,0
10388,0,8,1,274,8,0,0,0,1,0
10399,0,20,1,169,20,0,0,1,1,0
10402,0,10,1,87,10,1,0,0,1,0
10414,1,10,6,32.1666666666667,26,2,0,1,1,1
10416,0,12,4,83.75,36,0,0,1,1,1
10425,0,12,8,52.375,48,2,1,0,1,0
10431,0,16,1,274,16,0,1,0,1,0
10482,1,12,1,283,12,1,0,0,1,0
10499,1,2,1,260,2,0,0,0,1,0
10508,0,16,1,193,16,0,0,1,1,0
10519,1,14,1,281,14,0,0,1,1,0
10567,0,16,8,16.875,60,3,1,0,1,0
10568,0,16,1,148,16,0,0,1,1,0
10578,0,14,1,19,14,0,0,0,1,0
10601,0,30,3,79,44,1,1,0,1,0
10604,0,14,2,24.5,18,0,0,1,1,0
10622,0,6,1,57,6,0,0,1,1,0
10629,0,16,1,99,16,0,0,0,1,0
10650,0,12,2,97.5,16,0,0,0,1,0
10655,0,12,1,304,12,0,0,1,1,0
10662,1,4,1,90,4,0,0,0,1,0
10669,0,10,2,29,16,0,0,1,1,1
10684,0,12,6,22.3333333333333,34,1,0,1,1,1
10704,0,10,1,182,10,1,0,0,1,0
10710,0,8,2,40,12,1,0,1,1,0
10711,0,2,2,122,8,0,0,0,1,0
10716,0,4,8,40.125,44,2,1,1,1,1
10730,0,8,2,159.5,10,1,0,0,1,0
10775,0,14,5,51.6,36,0,0,1,1,0
10782,0,18,10,25.4,74,2,1,1,1,1
10793,1,16,1,231,16,0,0,0,1,0
10801,0,10,9,32.8888888888889,58,0,1,1,1,0
10816,0,12,2,139,18,0,0,1,1,0
10819,0,10,1,163,10,0,0,1,1,0
10845,1,28,7,38.5714285714286,56,3,1,1,1,0
10859,1,4,12,16.1666666666667,62,2,1,1,1,1
10861,0,14,1,129,14,1,0,0,1,0
10862,0,10,8,15.5,54,2,0,1,1,0
10874,0,14,11,24.9090909090909,68,4,1,1,1,1
10878,0,10,3,33,22,0,1,1,1,1
10880,0,12,1,15,12,1,0,0,1,0
10881,1,16,8,43.375,42,3,0,1,1,0
10889,1,12,2,78.5,20,2,0,0,1,0
10892,1,12,4,59.5,22,2,1,0,1,0
10920,0,2,2,53.5,8,1,0,0,1,0
10921,0,10,12,19.0833333333333,40,2,1,1,1,0
10945,0,12,2,110.5,20,0,0,0,1,0
10958,0,2,12,28,28,1,1,1,1,0
10962,1,16,1,186,16,0,0,1,1,0
10964,1,26,3,95,38,2,0,0,1,0
10965,0,14,2,164.5,22,0,0,1,1,0
10966,0,2,6,44.3333333333333,30,2,1,0,1,0
10968,1,6,1,276,6,1,0,0,1,0
10972,1,16,10,32.3,44,1,0,1,1,1
10985,0,12,1,258,12,0,0,1,1,0
10988,0,12,2,54.5,20,0,0,0,1,0
10999,0,14,8,52.375,48,1,1,1,1,0
11000,0,12,1,87,12,0,0,0,1,0
11011,0,10,1,284,10,1,0,0,1,0
11022,1,34,11,29.8181818181818,98,2,1,1,1,0
11029,1,36,10,19.6,64,5,1,1,1,0
11030,0,6,1,228,6,0,1,0,1,0
11033,0,4,2,48.5,6,0,0,1,1,0
11038,0,22,2,163.5,28,0,1,0,1,0
11047,0,14,2,52,20,0,0,0,1,0
11055,0,2,1,132,2,0,0,1,1,0
11063,0,18,2,151,26,0,1,1,1,0
11066,0,14,2,35.5,20,2,0,0,1,0
11092,0,20,2,162,28,0,0,0,1,0
11093,0,12,8,32.875,58,2,1,1,1,0
11102,1,18,7,17,32,1,1,1,1,0
11123,0,2,12,30.25,28,1,1,1,1,1
11134,0,8,9,39.2222222222222,38,0,1,1,1,0
11136,0,4,1,219,4,0,0,0,1,0
11137,1,4,3,43,18,1,0,0,1,0
11139,0,8,2,132.5,12,1,0,0,1,0
11144,0,6,4,36.75,18,0,0,1,1,0
11153,0,6,1,73,6,0,1,0,1,0
11161,0,4,2,44.5,6,0,0,0,1,0
11167,1,10,6,27,22,1,1,1,1,1
11189,0,2,2,120,8,0,1,0,1,0
11200,1,18,1,235,18,0,0,0,1,0
11202,0,30,1,195,30,1,0,0,1,0
11203,0,18,1,17,18,0,0,0,1,0
11205,1,2,2,37,6,0,0,0,1,0
11251,0,4,9,36.3333333333333,38,1,1,1,1,0
11265,1,12,7,17,32,3,1,1,1,1
11274,1,18,2,68.5,24,1,0,0,1,0
11288,0,8,1,264,8,0,0,0,1,0
11298,1,34,1,300,34,1,0,0,1,0
11299,0,10,11,31.4545454545455,66,2,1,1,1,0
11301,1,12,2,139.5,18,2,0,0,1,0
