"","acctnum","gender","R","F","M","firstpur","age_class","single","student","mailing","respmail"
"1",10001,"M",30,"10",35.7,50,"36-40","yes","yes",1,0
"3",10010,"F",12,"1",123,12,"18-25","yes","no",1,0
"4",10011,"F",6,"2",147,8,"18-25","yes","yes",1,0
"8",10029,"M",8,"2",64,10,"18-25","yes","no",1,0
"11",10034,"F",4,"9",38.8888888888889,28,"36-40","no","yes",1,0
"12",10066,"M",8,"3",41,18,"18-25","no","yes",1,0
"14",10073,"F",16,"5",36,42,"31-35","no","no",1,0
"16",10088,"F",26,"1",172,26,"18-25","no","yes",1,0
"21",10131,"F",14,"2",163,22,"18-25","yes","no",1,0
"22",10138,"F",28,"7",42,56,"26-30","no","yes",1,0
"24",10159,"M",10,"2",125.5,18,"18-25","no","yes",1,0
"25",10161,"M",10,"4",85.75,30,"18-25","no","yes",1,0
"26",10173,"F",12,"1",252,12,"26-30","no","no",1,0
"27",10175,"F",4,"2",26,6,"26-30","no","no",1,0
"28",10181,"F",2,"2",150.5,4,"18-25","no","yes",1,0
"34",10245,"F",26,"12",27.3333333333333,62,"31-35","yes","no",1,0
"36",10256,"F",32,"2",66.5,36,"26-30","no","yes",1,1
"38",10264,"M",14,"1",234,14,"18-25","yes","no",1,0
"40",10281,"F",28,"1",72,28,"18-25","no","yes",1,0
"44",10303,"M",16,"1",107,16,"18-25","yes","no",1,0
"48",10336,"M",12,"8",19.375,48,"31-35","yes","yes",1,1
"49",10337,"F",8,"1",231,8,"18-25","no","yes",1,0
"50",10351,"F",26,"1",49,26,"18-25","yes","no",1,0
"51",10370,"F",12,"3",107,24,"18-25","yes","yes",1,0
"53",10399,"F",20,"1",169,20,"18-25","no","yes",1,0
"56",10416,"F",12,"4",83.75,36,"18-25","no","yes",1,1
"58",10431,"F",16,"1",274,16,"18-25","yes","no",1,0
"61",10508,"F",16,"1",193,16,"18-25","no","yes",1,0
"62",10519,"M",14,"1",281,14,"18-25","no","yes",1,0
"64",10568,"F",16,"1",148,16,"18-25","no","yes",1,0
"65",10578,"F",14,"1",19,14,"18-25","no","no",1,0
"66",10601,"F",30,"3",79,44,"26-30","yes","no",1,0
"67",10604,"F",14,"2",24.5,18,"18-25","no","yes",1,0
"71",10655,"F",12,"1",304,12,"18-25","no","yes",1,0
"76",10710,"F",8,"2",40,12,"26-30","no","yes",1,0
"82",10793,"M",16,"1",231,16,"18-25","no","no",1,0
"84",10816,"F",12,"2",139,18,"18-25","no","yes",1,0
"85",10819,"F",10,"1",163,10,"18-25","no","yes",1,0
"87",10859,"M",4,"12",16.1666666666667,62,"31-35","yes","yes",1,1
"88",10861,"F",14,"1",129,14,"26-30","no","no",1,0
"90",10874,"F",14,"11",24.9090909090909,68,"41-45","yes","yes",1,1
"94",10889,"M",12,"2",78.5,20,"31-35","no","no",1,0
"96",10920,"F",2,"2",53.5,8,"26-30","no","no",1,0
"100",10962,"M",16,"1",186,16,"18-25","no","yes",1,0
"102",10965,"F",14,"2",164.5,22,"18-25","no","yes",1,0
"105",10972,"M",16,"10",32.3,44,"26-30","no","yes",1,1
"107",10988,"F",12,"2",54.5,20,"18-25","no","no",1,0
"108",10999,"F",14,"8",52.375,48,"26-30","yes","yes",1,0
"109",11000,"F",12,"1",87,12,"18-25","no","no",1,0
"114",11033,"F",4,"2",48.5,6,"18-25","no","yes",1,0
"115",11038,"F",22,"2",163.5,28,"18-25","yes","no",1,0
"116",11047,"F",14,"2",52,20,"18-25","no","no",1,0
"120",11092,"F",20,"2",162,28,"18-25","no","no",1,0
"121",11093,"F",12,"8",32.875,58,"31-35","yes","yes",1,0
"129",11153,"F",6,"1",73,6,"18-25","yes","no",1,0
"130",11161,"F",4,"2",44.5,6,"18-25","no","no",1,0
"131",11167,"M",10,"6",27,22,"26-30","yes","yes",1,1
"132",11189,"F",2,"2",120,8,"18-25","yes","no",1,0
"136",11205,"M",2,"2",37,6,"18-25","no","no",1,0
"139",11274,"M",18,"2",68.5,24,"26-30","no","no",1,0
"141",11298,"M",34,"1",300,34,"26-30","no","no",1,0
"143",11301,"M",12,"2",139.5,18,"31-35","no","no",1,0
"146",11322,"M",2,"3",101.333333333333,10,"26-30","no","no",1,0
"149",11339,"F",16,"8",47.375,48,"41-45","no","yes",1,0
"154",11381,"F",16,"1",107,16,"18-25","no","yes",1,0
"156",11394,"F",8,"10",27.5,62,"26-30","yes","yes",1,1
"158",11418,"F",10,"1",19,10,"18-25","no","yes",1,0
"159",11425,"F",6,"1",84,6,"18-25","no","no",1,0
"160",11431,"M",8,"4",44,18,"31-35","no","no",1,0
"161",11437,"F",34,"1",309,34,"26-30","no","no",1,0
"162",11438,"F",14,"2",63,16,"18-25","no","yes",1,0
"164",11456,"F",14,"1",211,14,"18-25","no","no",1,0
"166",11464,"F",28,"2",152.5,36,"26-30","no","yes",1,0
"168",11488,"M",14,"10",17.1,44,"31-35","yes","yes",1,0
"170",11514,"F",4,"1",92,4,"18-25","no","no",1,0
"172",11540,"F",10,"1",138,10,"18-25","no","no",1,0
"176",11551,"M",10,"6",36.1666666666667,32,"26-30","no","yes",1,1
"177",11559,"M",14,"1",184,14,"18-25","no","no",1,0
"183",11636,"F",8,"10",23.2,62,"26-30","yes","yes",1,1
"184",11641,"M",18,"2",44,22,"26-30","no","no",1,0
"191",11717,"F",16,"4",47,28,"26-30","no","yes",1,0
"193",11735,"F",12,"1",56,12,"18-25","no","no",1,0
"195",11747,"M",16,"2",44.5,22,"18-25","no","yes",1,0
"197",11804,"F",12,"4",45.25,32,"26-30","yes","yes",1,0
"198",11815,"F",12,"2",36.5,18,"18-25","yes","no",1,0
"201",11841,"M",12,"1",187,12,"26-30","no","no",1,0
"204",11872,"M",34,"9",20.7777777777778,52,"31-35","yes","yes",1,0
