Segment,Roll?,Roll_s,Resp_s
1,Y,6750,37
2,Y,3318,23
3,Y,982,10
4,Y,2777,30
5,Y,48293,1346
6,Y,7033,215
7,Y,35944,1199
8,Y,15142,482
9,Y,24200,123
10,Y,7113,49
11,Y,32078,123
12,Y,6721,24
13,Y,56298,142
14,Y,21481,51
15,Y,19944,72
16,Y,9081,41
17,Y,7773,23
18,Y,5464,10
19,Y,2748,3
20,Y,1620,2
21,Y,5588,5
22,Y,2440,0
23,Y,7099,11
24,Y,4084,7
25,Y,54741,98
26,Y,42930,73
27,Y,23440,27
28,Y,13999,14
29,Y,24947,36
30,Y,11522,11
31,N,,
32,Y,7872,7
33,N,,
34,Y,8564,2
35,N,,
36,N,,
37,Y,6985,7
38,Y,2808,6
39,Y,4354,4
40,Y,1631,2
41,N,,
42,N,,
43,Y,9645,21
44,N,,
45,Y,4544,4
46,N,,
47,Y,8546,6
48,N,,
49,Y,5748,6
50,N,,
51,N,,
52,N,,
53,N,,
54,Y,13758,10
55,Y,10232,16
56,Y,5072,7
57,Y,17054,14
58,Y,6951,8
59,N,,
60,N,,
61,Y,6842,3
62,N,,
63,Y,16704,15
64,N,,
65,N,,
66,N,,
67,N,,
68,N,,
69,N,,
70,N,,
71,N,,
72,Y,12166,8
73,N,,
74,N,,
75,Y,11514,25
76,Y,14638,27
77,N,,
78,N,,
79,Y,6458,14
80,Y,9928,25
81,N,,
82,Y,9104,16
83,Y,9923,14
84,Y,23572,34
85,Y,19559,17
86,N,,
87,Y,6356,6
88,Y,7005,10
89,N,,
90,Y,10022,8
91,Y,2797,8
92,Y,7400,13
93,N,,
94,N,,
95,N,,
96,N,,
97,Y,3427,4
98,Y,10457,7
99,Y,3311,3
100,N,,
101,N,,
102,N,,
103,Y,10082,4
104,N,,
105,N,,
106,N,,
107,N,,
108,N,,
109,N,,
110,N,,
111,N,,
112,N,,
113,N,,
114,N,,
115,Y,4998,41
116,Y,4485,30
117,Y,11241,51
118,Y,6570,14
119,Y,5907,0
120,Y,4948,0
121,N,,
122,N,,
123,N,,
124,N,,
125,N,,
126,N,,
